"Season","Name","Team","Pos","Inn","playerid"
"2002","David Bell","SFG","2B","87.0","1108"
"2011","Matt Dominguez","FLA","3B","122.0","4903"
"2007","Mike Fontenot","CHC","SS","19.0","3912"
"2009","Aaron Bates","BOS","1B","30.0","2777"
"2011","Ryan Spilborghs","COL","CF","71.2","4521"
"2004","Eric Young","TEX","LF","326.1","716"
"2022","Patrick Wisdom","CHC","LF","33.0","13602"
"2008","Emil Brown","OAK","LF","413.0","1197"
"2016","Kurt Suzuki","MIN","C","797.0","8259"
"2010","Josh Wilson","SEA","1B","30.0","2102"
"2010","Willy Aybar","TBR","3B","25.0","2192"
"2012","Matt Diaz","ATL","LF","141.0","1771"
"2019","Brock Holt","BOS","RF","55.2","9345"
"2010","Chris Carter","NYM","LF","108.2","7707"
"2022","Mitch Haniger","SEA","RF","396.0","14274"
"2008","Jason Pridie","MIN","RF","7.0","4611"
"2010","Gustavo Molina","BOS","C","17.0","2861"
"2016","Brett Wallace","SDP","1B","121.0","8434"
"2004","Damion Easley","FLA","SS","65.1","464"
"2010","Casey McGehee","MIL","3B","1326.0","6086"
"2015","Jerry Sands","CLE","LF","51.0","4016"
"2013","Neil Walker","PIT","2B","1144.0","7539"
"2018","Adam Moore","TBR","C","51.0","9362"
"2022","Tyler Wade","LAA","RF","36.0","15730"
"2014","Christian Yelich","MIA","CF","76.2","11477"
"2018","Mitch Haniger","SEA","CF","208.0","14274"
"2009","Alex Gordon","KCR","3B","406.0","5209"
"2010","Scott Hairston","SDP","RF","27.0","1926"
"2010","Andres Blanco","TEX","2B","283.1","1907"
"2006","Brady Clark","MIL","CF","910.2","1398"
"2022","Josh VanMeter","PIT","1B","137.0","15170"
"2016","Kennys Vargas","MIN","1B","250.2","12101"
"2021","Jake Lamb","CHW","RF","66.2","13329"
"2014","Jay Bruce","CIN","1B","26.0","9892"
"2020","Teoscar Hernandez","TOR","RF","325.2","13066"
"2019","Bubba Starling","KCR","LF","26.0","13356"
"2022","Lucius Fox","WSN","SS","52.0","18899"
"2011","Omar Vizquel","CHW","3B","182.0","411"
"2002","Shawon Dunston","SFG","LF","99.2","1401"
"2004","Mike Hessman","ATL","1B","90.1","1808"
"2007","Ramon Martinez","LAD","SS","54.2","1120"
"2012","Kurt Suzuki","- - -","C","1014.0","8259"
"2003","Matthew LeCroy","MIN","1B","105.1","1456"
"2005","Damion Easley","FLA","SS","215.2","464"
"2018","Niko Goodrum","DET","RF","69.0","12092"
"2016","Jake Smolinski","OAK","LF","111.1","5408"
"2006","Juan Rivera","LAA","CF","143.1","843"
"2009","Ben Zobrist","TBR","LF","38.0","7435"
"2019","Xander Bogaerts","BOS","SS","1368.0","12161"
"2015","Rob Brantly","CHW","C","87.0","10655"
"2009","Eric Patterson","OAK","CF","30.0","9072"
"2016","Joey Gallo","TEX","1B","9.0","14128"
"2008","Wilson Betemit","NYY","1B","207.0","1861"
"2014","Elian Herrera","MIL","RF","79.0","5432"
"2013","Charlie Culberson","COL","LF","177.0","3298"
"2010","Felipe Lopez","- - -","3B","482.2","1311"
"2006","Wes Helms","FLA","3B","94.1","94"
"2015","Kelly Johnson","- - -","2B","204.0","2234"
"2005","Desi Relaford","COL","3B","124.0","1096"
"2022","Taylor Motter","CIN","3B","12.0","12399"
"2022","Jason Heyward","CHC","RF","166.1","4940"
"2021","Nico Hoerner","CHC","LF","13.1","21479"
"2016","Ivan De Jesus","CIN","1B","52.1","9886"
"2005","Michael Tucker","- - -","CF","46.0","635"
"2017","Alejandro De Aza","WSN","RF","61.0","3371"
"2019","Brandon Belt","SFG","LF","81.0","10264"
"2002","Aaron Boone","CIN","SS","108.2","311"
"2019","Pedro Severino","BAL","C","719.2","14523"
"2013","Jordany Valdespin","NYM","LF","16.2","5098"
"2003","Gerald Williams","FLA","LF","54.0","1395"
"2010","Lance Zawadzki","SDP","2B","54.0","2369"
"2007","Eugenio Velez","SFG","2B","12.0","3893"
"2004","Jolbert Cabrera","SEA","SS","83.0","373"
"2014","Jorge Soler","CHC","RF","205.0","14221"
"2016","Michael Saunders","TOR","RF","172.1","9981"
"2008","Ryan Freel","CIN","LF","46.1","1207"
"2013","Adam Eaton","ARI","LF","266.0","11205"
"2021","Brandon Lowe","TBR","2B","1093.0","18882"
"2015","Michael Cuddyer","NYM","1B","141.0","1534"
"2002","Jason Romano","COL","SS","29.0","1278"
"2019","Alex Verdugo","LAD","RF","152.0","17027"
"2012","Ryan Wheeler","ARI","3B","193.0","9312"
"2022","Brendan Donovan","STL","RF","143.0","24679"
"2010","Jeff Francoeur","- - -","RF","1070.0","4792"
"2018","Trayce Thompson","- - -","CF","56.0","9952"
"2015","Rusney Castillo","BOS","CF","41.1","17016"
"2014","Matt Joyce","TBR","RF","118.0","3353"
"2011","Wilson Betemit","KCR","1B","27.0","1861"
"2004","Ricky Gutierrez","BOS","SS","36.0","387"
"2004","Geoff Blum","TBD","LF","59.1","550"
"2016","Jarrett Parker","SFG","RF","132.0","11624"
"2022","Jose Rojas","LAA","RF","43.0","19331"
"2013","Brock Holt","BOS","3B","151.2","9345"
"2016","Daniel Murphy","WSN","1B","151.2","4316"
"2007","Skip Schumaker","STL","RF","115.1","3704"
"2007","Kevin Frandsen","SFG","SS","138.1","7528"
"2012","Jimmy Paredes","HOU","2B","35.0","5481"
"2012","Mitch Maier","KCR","CF","126.0","5588"
"2005","Lance Niekro","SFG","1B","529.0","1832"
"2022","Travis Demeritte","ATL","RF","167.0","15958"
"2007","Brian Anderson","CHW","CF","24.0","6144"
"2016","Marwin Gonzalez","HOU","2B","79.0","5497"
"2012","Don Kelly","DET","RF","87.0","2216"
"2011","Jason Donald","CLE","SS","103.2","9331"
"2009","Greg Dobbs","PHI","1B","41.0","2158"
"2021","Domingo Leyba","- - -","2B","136.1","16404"
"2009","Jason Michaels","HOU","CF","102.0","1399"
"2017","Paul DeJong","STL","2B","158.0","18015"
"2012","Jason Donald","CLE","3B","99.0","9331"
"2004","Jose Macias","CHC","CF","30.0","476"
"2012","Joe Mather","CHC","3B","132.0","3714"
"2022","Yermin Mercedes","SFG","LF","48.0","17423"
"2004","Willie Bloomquist","SEA","1B","99.0","1066"
"2019","Humberto Arteaga","KCR","SS","286.1","13595"
"2012","Yoenis Cespedes","OAK","CF","432.0","13110"
"2013","Chris Herrmann","MIN","RF","135.0","9284"
"2010","Kyle Blanks","SDP","LF","253.0","49"
"2015","Donovan Solano","MIA","2B","39.0","8623"
"2011","Shin-Soo Choo","CLE","RF","735.1","3174"
"2022","Austin Riley","ATL","3B","1408.0","18360"
"2008","Jeff Baisley","OAK","3B","79.0","9684"
"2004","Michael Ryan","MIN","RF","20.0","1643"
"2010","George Kottaras","MIL","C","541.2","5506"
"2002","Jose Nieves","ANA","2B","130.0","26"
"2018","Patrick Wisdom","STL","1B","21.0","13602"
"2014","Juan Francisco","TOR","1B","127.1","6978"
"2015","Daniel Descalso","COL","2B","99.1","8392"
"2002","Bobby Abreu","PHI","CF","128.2","945"
"2009","Garrett Jones","PIT","LF","127.0","2714"
"2006","Joe Randa","PIT","1B","69.1","623"
"2002","Matt Cepicky","MON","LF","127.0","1562"
"2006","Jose Vizcaino","- - -","1B","64.1","577"
"2019","Niko Goodrum","DET","1B","152.0","12092"
"2011","Will Venable","SDP","CF","93.0","211"
"2008","Matt Brown","LAA","3B","46.0","6384"
"2009","Will Venable","SDP","CF","117.0","211"
"2005","Chip Ambres","KCR","CF","157.0","2042"
"2009","Juan Pierre","LAD","CF","102.0","443"
"2014","Brock Holt","BOS","3B","327.0","9345"
"2010","Jody Gerut","MIL","LF","30.2","1696"
"2008","Mark DeRosa","CHC","2B","670.0","1392"
"2022","Travis Shaw","BOS","1B","26.0","11982"
"2008","Daryle Ward","CHC","RF","17.0","579"
"2013","Michael Young","- - -","1B","219.2","1286"
"2012","Russ Canzler","CLE","1B","56.0","8265"
"2005","Aaron Holbert","CIN","2B","28.0","1960"
"2014","Michael Choice","TEX","CF","40.0","11376"
"2015","Jake Elmore","TBR","3B","59.0","7290"
"2012","Adam Dunn","CHW","1B","452.2","319"
"2010","Robb Quinlan","LAA","1B","65.1","1779"
"2007","Josh Fields","CHW","LF","179.1","7490"
"2013","Andrew Romine","LAA","3B","188.2","1159"
"2018","Welington Castillo","CHW","C","354.1","3256"
"2003","Adam Piatt","- - -","RF","81.0","935"
"2009","Carlos Gonzalez","COL","RF","28.2","7287"
"2018","Derek Fisher","HOU","LF","151.0","16192"
"2019","Yasmani Grandal","MIL","1B","143.0","11368"
"2016","Jordan Pacheco","CIN","3B","31.0","2677"
"2002","Jack Cust","COL","LF","124.1","1564"
"2020","Kevan Smith","TBR","C","80.0","12284"
"2015","Jose Pirela","NYY","2B","156.2","5485"
"2006","Chone Figgins","LAA","2B","62.0","1580"
"2015","Jordan Schafer","MIN","CF","182.0","9883"
"2010","Brian Bogusevic","HOU","RF","9.0","4719"
"2020","Mike Moustakas","CIN","1B","63.2","4892"
"2003","Gene Kingsale","DET","CF","192.0","1085"
"2009","Brandon Boggs","TEX","LF","26.0","8021"
"2007","Omar Infante","DET","SS","79.2","1609"
"2019","Enrique Hernandez","LAD","SS","67.0","10472"
"2019","Derek Fisher","TOR","CF","25.0","16192"
"2013","Anthony Gose","TOR","CF","269.1","5097"
"2014","Everth Cabrera","SDP","SS","804.0","8155"
"2006","Miguel Cabrera","FLA","3B","1334.0","1744"
"2022","Chad Pinder","OAK","RF","187.0","15191"
"2015","Jaff Decker","PIT","LF","29.0","7945"
"2002","Enrique Wilson","NYY","RF","9.0","858"
"2019","Jackson Frazier","NYY","LF","131.2","15983"
"2014","Justin Turner","LAD","2B","108.2","5235"
"2016","Rob Refsnyder","NYY","2B","41.0","13770"
"2004","David DeJesus","KCR","RF","32.0","1825"
"2009","Jeremy Reed","NYM","RF","49.0","4730"
"2014","Cole Gillespie","SEA","LF","119.0","5888"
"2003","Larry Walker","COL","RF","1102.2","455"
"2003","Gabe Kapler","- - -","LF","150.0","1256"
"2003","Marty Cordova","BAL","LF","35.0","132"
"2018","Charlie Culberson","ATL","LF","207.1","3298"
"2005","Antonio Perez","LAD","SS","65.0","1708"
"2019","Ian Desmond","COL","LF","332.0","6885"
"2017","Wilmer Flores","NYM","1B","178.1","5827"
"2008","Cody Ransom","NYY","1B","42.0","1126"
"2002","Alex Cintron","ARI","3B","22.2","50"
"2018","Mark Canha","OAK","1B","58.1","11445"
"2016","Drew Stubbs","- - -","RF","86.0","9328"
"2013","Ryan Wheeler","COL","3B","8.0","9312"
"2019","Brian Dozier","WSN","2B","1009.0","9810"
"2005","Ronny Cedeno","CHC","SS","158.2","2179"
"2003","Jay Gibbons","BAL","1B","97.0","141"
"2003","Brian Giles","PIT","CF","124.2","990"
"2020","Robinson Chirinos","- - -","C","191.1","3142"
"2007","Matthew LeCroy","MIN","C","35.0","1456"
"2004","Henry Mateo","MON","2B","37.0","1461"
"2002","Marlon Anderson","PHI","2B","1199.2","947"
"2017","Ryan Rua","TEX","LF","179.1","12409"
"2003","Brad Wilkerson","MON","CF","303.1","804"
"2003","Jose Leon","BAL","1B","46.2","149"
"2013","Eric Young Jr.","- - -","LF","790.1","7158"
"2010","Carlos Beltran","NYM","CF","517.2","589"
"2020","Yuli Gurriel","HOU","1B","472.0","19198"
"2015","Josh Harrison","PIT","RF","81.2","8202"
"2016","Mike Aviles","DET","3B","51.0","5986"
"2022","Manuel Margot","TBR","RF","429.0","14712"
"2002","Tim Raines","FLA","LF","44.1","1406"
"2007","Tony Batista","WSN","1B","127.0","124"
"2012","Salvador Perez","KCR","C","653.2","7304"
"2021","Brandon Lowe","TBR","RF","45.0","18882"
"2014","Jimmy Paredes","- - -","3B","117.0","5481"
"2020","Yandy Diaz","TBR","3B","184.2","16578"
"2020","Aledmys Diaz","HOU","2B","76.0","15937"
"2019","Yairo Munoz","STL","LF","47.0","16313"
"2002","Bill Selby","CLE","LF","60.0","405"
"2005","Ramon Martinez","- - -","1B","79.0","1120"
"2003","Shane Spencer","- - -","LF","471.0","848"
"2007","Ronnie Belliard","WSN","1B","42.0","677"
"2002","Ricky Ledee","PHI","RF","33.0","1407"
"2022","Mike Yastrzemski","SFG","RF","555.2","14854"
"2006","Jose Cruz","LAD","RF","144.1","1296"
"2017","Jesse Winker","CIN","RF","202.1","13590"
"2003","John Olerud","SEA","1B","1287.0","1093"
"2013","Jurickson Profar","TEX","2B","268.2","10815"
"2003","Kevin Millar","BOS","RF","86.1","529"
"2002","Nomar Garciaparra","BOS","SS","1341.0","190"
"2018","Kyle Schwarber","CHC","LF","943.2","16478"
"2008","Pete Orr","WSN","SS","43.0","2748"
"2015","Brandon Belt","SFG","1B","1050.0","10264"
"2018","Gregor Blanco","SFG","LF","191.2","3123"
"2010","Fred Lewis","TOR","RF","67.0","4693"
"2004","Ramon Martinez","CHC","3B","112.2","1120"
"2014","Dan Johnson","TOR","1B","57.0","2167"
"2015","Jason Bourgeois","CIN","RF","34.0","2225"
"2005","Alexis Gomez","DET","LF","28.0","1501"
"2011","Mark DeRosa","SFG","3B","121.0","1392"
"2017","Mac Williamson","SFG","RF","92.0","14158"
"2008","Ryan Raburn","DET","3B","79.0","2218"
"2003","Ken Griffey Jr.","CIN","CF","355.2","327"
"2002","Chris Donnels","ARI","3B","103.2","1396"
"2003","Ramon Vazquez","SDP","3B","27.0","1058"
"2017","Jorge Soler","KCR","RF","117.0","14221"
"2021","Marcell Ozuna","ATL","LF","411.1","10324"
"2015","Darwin Barney","TOR","2B","67.0","2430"
"2010","Desmond Jennings","TBR","RF","23.0","1965"
"2015","Nick Swisher","- - -","RF","19.0","4599"
"2011","Adam Everett","CLE","2B","44.1","1430"
"2003","Eric Byrnes","OAK","CF","672.1","905"
"2013","Rick Ankiel","- - -","RF","165.2","1142"
"2007","Mark DeRosa","CHC","RF","138.2","1392"
"2011","Alexi Amarista","LAA","2B","93.2","9063"
"2006","J.T. Snow","BOS","1B","102.1","1133"
"2005","Carlos Baerga","WSN","1B","86.2","175"
"2011","Blake DeWitt","CHC","LF","155.0","7485"
"2021","Gavin Lux","LAD","LF","86.0","19955"
"2012","Endy Chavez","BAL","LF","213.0","768"
"2015","Tyler Collins","DET","LF","310.2","12723"
"2003","Karim Garcia","NYY","LF","98.0","1537"
"2015","Micah Johnson","CHW","2B","280.0","13809"
"2015","Kelly Johnson","- - -","LF","192.0","2234"
"2004","Kenny Lofton","NYY","CF","539.1","246"
"2020","Michael Chavis","BOS","2B","61.0","17321"
"2021","Jurickson Profar","SDP","2B","59.2","10815"
"2017","Josh Reddick","HOU","LF","231.1","3892"
"2012","Jordany Valdespin","NYM","LF","134.0","5098"
"2005","Ryan Zimmerman","WSN","SS","9.0","4220"
"2020","Shed Long Jr.","SEA","2B","259.2","16542"
"2005","Jody Gerut","- - -","LF","156.0","1696"
"2005","Rick Short","WSN","2B","30.0","2263"
"2003","Aaron Boone","CIN","SS","31.0","311"
"2011","Alex Presley","PIT","LF","406.0","5305"
"2015","Tyler Moore","WSN","LF","122.2","7244"
"2016","Andrew Romine","DET","1B","54.0","1159"
"2020","J.D. Martinez","BOS","RF","30.0","6184"
"2021","Andy Young","ARI","LF","5.0","19521"
"2014","Justin Turner","LAD","SS","86.0","5235"
"2008","Ty Wigginton","HOU","3B","652.0","1491"
"2010","Scott Moore","BAL","3B","18.0","4390"
"2021","Ildemaro Vargas","- - -","3B","60.0","13324"
"2009","Ryan Spilborghs","COL","RF","192.1","4521"
"2015","Colby Rasmus","HOU","RF","327.2","9893"
"2006","Joe Inglett","CLE","2B","417.1","7254"
"2012","Anthony Rizzo","CHC","1B","730.2","3473"
"2017","Dwight Smith Jr.","TOR","LF","53.2","13473"
"2012","Andy Dirks","DET","RF","139.2","6453"
"2020","Kyle Garlick","PHI","RF","15.0","18063"
"2016","Steven Souza Jr.","TBR","RF","947.2","5667"
"2012","Erik Komatsu","- - -","CF","31.0","8039"
"2014","Alex Presley","HOU","RF","172.2","5305"
"2011","Rafael Furcal","- - -","SS","726.2","88"
"2021","Kris Bryant","- - -","3B","386.0","15429"
"2011","Jose Constanza","ATL","CF","28.0","6003"
"2003","Steve Finley","ARI","CF","1168.1","54"
"2005","Eddy Garabito","COL","2B","132.1","7022"
"2019","Matt Olson","OAK","1B","1120.2","14344"
"2008","Kory Casto","WSN","LF","53.2","6597"
"2020","Mickey Moniak","PHI","LF","29.0","19956"
"2006","Melky Cabrera","NYY","CF","23.0","4022"
"2021","Michael Brantley","HOU","LF","666.2","4106"
"2017","Aaron Altherr","PHI","CF","101.1","11270"
"2015","Stephen Piscotty","STL","LF","385.1","13367"
"2021","Giancarlo Stanton","NYY","LF","70.2","4949"
"2019","Gordon Beckham","DET","SS","151.1","9015"
"2021","Andrew Stevenson","WSN","LF","122.2","17932"
"2005","So Taguchi","STL","LF","280.1","1186"
"2005","Angel Chavez","SFG","SS","27.1","2224"
"2007","Travis Metcalf","TEX","3B","430.1","7364"
"2021","Taylor Trammell","SEA","LF","104.0","19960"
"2004","Jason Kubel","MIN","LF","18.0","2161"
"2002","Casey Blake","MIN","3B","44.0","719"
"2014","Adam Dunn","CHW","RF","16.0","319"
"2016","Luis Valbuena","HOU","3B","683.0","4969"
"2002","Walt McKeel","COL","C","28.1","1545"
"2005","Chris Gomez","BAL","3B","120.0","1208"
"2022","Trey Mancini","- - -","RF","86.0","15149"
"2013","Logan Forsythe","SDP","LF","64.1","7185"
"2013","Travis Snider","PIT","RF","494.0","2830"
"2021","Chad Pinder","OAK","3B","34.1","15191"
"2013","Leonys Martin","TEX","LF","42.0","11846"
"2004","Mark DeRosa","ATL","SS","50.1","1392"
"2022","Joc Pederson","SFG","RF","94.0","11899"
"2012","Justin Maxwell","HOU","LF","175.2","6827"
"2009","Ryan Garko","CLE","LF","48.0","6319"
"2016","Steve Pearce","- - -","2B","121.0","9957"
"2013","Alberto Callaspo","- - -","3B","769.0","3336"
"2002","Damian Jackson","DET","CF","24.0","471"
"2012","Nori Aoki","MIL","CF","120.0","13075"
"2013","Daniel Murphy","NYM","2B","1334.1","4316"
"2015","Cameron Maybin","ATL","CF","1129.2","5223"
"2019","Joey Rickard","BAL","CF","115.2","13277"
"2010","Cristian Guzman","- - -","2B","552.0","728"
"2012","Ben Francisco","- - -","RF","170.2","4677"
"2012","Luis Martinez","TEX","C","57.0","2481"
"2003","Mike Mordecai","FLA","3B","28.0","1385"
"2015","Juan Centeno","MIL","C","46.0","7168"
"2019","Amed Rosario","NYM","SS","1337.1","15518"
"2021","Ian Happ","CHC","RF","94.2","17919"
"2020","J.D. Davis","NYM","LF","52.0","16219"
"2009","David Murphy","TEX","LF","858.1","6035"
"2013","Chris Coghlan","MIA","LF","146.0","6878"
"2017","Geovany Soto","CHW","C","108.2","3707"
"2012","Kirk Nieuwenhuis","NYM","RF","70.2","6400"
"2013","Rajai Davis","TOR","LF","381.1","3708"
"2016","Nick Franklin","TBR","2B","57.0","10166"
"2002","Jeff Liefer","CHW","1B","191.0","245"
"2022","Bligh Madris","PIT","RF","149.2","20054"
"2011","Ryan Raburn","DET","3B","30.0","2218"
"2021","Jared Walsh","LAA","RF","147.2","18607"
"2007","Jerry Hairston","TEX","2B","107.0","144"
"2012","Jason Giambi","COL","1B","89.2","818"
"2021","Jake Fraley","SEA","LF","333.0","19260"
"2007","Nelson Cruz","TEX","RF","604.1","2434"
"2016","Steven Moya","DET","LF","62.0","11854"
"2018","Josh Harrison","PIT","2B","727.1","8202"
"2009","Edgar Gonzalez","SDP","2B","110.0","2963"
"2020","Ben Gamel","MIL","CF","85.0","12160"
"2021","Harold Castro","DET","SS","291.0","14691"
"2002","Shannon Stewart","TOR","LF","861.2","1322"
"2018","David Fletcher","LAA","SS","34.0","17992"
"2017","A.J. Pollock","ARI","CF","873.1","9256"
"2022","Donovan Walton","SFG","SS","93.0","19314"
"2005","Shea Hillenbrand","TOR","3B","451.0","196"
"2020","Michael Chavis","BOS","LF","95.2","17321"
"2007","Todd Linden","- - -","CF","106.2","1803"
"2005","Ray Olmedo","CIN","2B","137.1","1718"
"2020","Jorge Alfaro","MIA","C","217.1","12180"
"2021","Luis Urias","MIL","3B","508.1","16622"
"2010","Ian Stewart","COL","3B","925.1","5950"
"2008","Jack Cust","OAK","RF","39.0","1564"
"2003","Brooks Kieschnick","MIL","LF","26.0","389"
"2015","David Murphy","CLE","RF","101.0","6035"
"2020","Bradley Zimmer","CLE","CF","52.0","16221"
"2019","Jake Cave","MIN","RF","289.0","14477"
"2012","Roger Bernadina","WSN","LF","208.1","6421"
"2015","Daniel Fields","DET","LF","7.0","10390"
"2022","Tommy La Stella","SFG","2B","20.0","12371"
"2020","Adeiny Hechavarria","ATL","3B","44.0","10459"
"2016","Adonis Garcia","ATL","LF","29.0","13777"
"2018","Ronny Rodriguez","DET","3B","84.1","11875"
"2019","Ty France","SDP","2B","139.2","17982"
"2009","Josh Barfield","CLE","LF","4.0","3622"
"2018","Nicky Delmonico","CHW","1B","52.0","13157"
"2005","Chone Figgins","LAA","2B","322.1","1580"
"2006","Derrek Lee","CHC","1B","393.2","525"
"2004","Joey Gathright","TBD","CF","96.0","3913"
"2008","Roger Bernadina","WSN","CF","108.0","6421"
"2020","Chris Davis","BAL","1B","114.0","9272"
"2007","Jason Lane","- - -","CF","262.0","1397"
"2003","Brian Daubach","CHW","1B","278.1","186"
"2012","Bryce Harper","WSN","RF","414.1","11579"
"2003","Fernando Vina","STL","2B","530.2","1189"
"2012","Matt McBride","COL","RF","79.0","9373"
"2020","Brian Goodwin","- - -","RF","91.1","12858"
"2021","Khalil Lee","NYM","RF","44.2","19952"
"2020","Pat Valaika","BAL","2B","73.0","14885"
"2019","Rosell Herrera","MIA","CF","109.2","11611"
"2005","Damian Jackson","SDP","3B","53.0","471"
"2013","Buster Posey","SFG","1B","138.2","9166"
"2009","Jason Michaels","HOU","LF","90.1","1399"
"2004","Fred McGriff","TBD","1B","52.0","293"
"2017","Adrian Gonzalez","LAD","1B","501.0","1908"
"2002","Denny Hocking","MIN","SS","173.0","730"
"2022","Andrew McCutchen","MIL","RF","153.0","9847"
"2013","Adam Eaton","ARI","CF","232.1","11205"
"2003","Enrique Wilson","NYY","3B","95.2","858"
"2009","Marlon Byrd","TEX","LF","305.2","950"
"2020","Ildemaro Vargas","- - -","2B","84.0","13324"
"2005","Conor Jackson","ARI","1B","161.0","5997"
"2022","Pavin Smith","ARI","RF","328.0","19892"
"2011","Jose Lopez","FLA","1B","53.0","3114"
"2006","Preston Wilson","- - -","RF","181.0","545"
"2020","Austin Riley","ATL","3B","383.1","18360"
"2004","Chris Aguila","FLA","RF","70.0","2143"
"2016","Jose Reyes","NYM","3B","427.0","1736"
"2005","Xavier Nady","SDP","3B","18.0","1658"
"2006","Damion Easley","ARI","SS","204.2","464"
"2015","Torii Hunter","MIN","RF","1035.2","731"
"2003","Mark DeRosa","ATL","2B","229.1","1392"
"2011","Josh Bell","BAL","3B","134.0","2510"
"2010","Marco Scutaro","BOS","2B","132.1","1555"
"2013","Bryce Harper","WSN","LF","800.1","11579"
"2011","Maicer Izturis","LAA","2B","422.2","2437"
"2018","Leury Garcia","CHW","LF","230.0","5913"
"2020","Dee Strange-Gordon","SEA","2B","84.0","8203"
"2017","Scooter Gennett","CIN","RF","41.1","10339"
"2018","Maikel Franco","PHI","3B","965.2","12179"
"2007","Mike Lamb","HOU","1B","225.2","1258"
"2019","Ben Gamel","MIL","RF","161.2","12160"
"2009","Cliff Pennington","OAK","SS","533.2","3395"
"2006","Gary Sheffield","NYY","RF","165.0","114"
"2014","Allen Craig","- - -","RF","652.2","3433"
"2012","Jesus Guzman","SDP","RF","49.2","3118"
"2021","Pat Valaika","BAL","SS","101.0","14885"
"2004","Marco Scutaro","OAK","SS","113.1","1555"
"2016","Lucas Duda","NYM","1B","354.0","2502"
"2020","Anthony Rizzo","CHC","1B","474.1","3473"
"2007","Shane Victorino","PHI","CF","16.0","1677"
"2017","Rajai Davis","- - -","LF","124.2","3708"
"2003","Tom Wilson","TOR","1B","44.0","1328"
"2017","Chris Coghlan","TOR","LF","54.2","6878"
"2011","Jay Gibbons","LAD","RF","29.0","141"
"2007","Chris Heintz","MIN","C","137.1","2307"
"2013","John Mayberry","PHI","RF","428.1","3390"
"2022","Jason Vosler","SFG","LF","14.0","16686"
"2011","Jason Repko","MIN","CF","43.0","2628"
"2014","Miguel Olivo","LAD","C","55.2","1638"
"2012","Brian Bogusevic","HOU","RF","689.2","4719"
"2018","Jason Kipnis","CLE","2B","1133.2","9776"
"2021","Gleyber Torres","NYY","SS","915.2","16997"
"2006","Melky Cabrera","NYY","LF","998.2","4022"
"2005","Alejandro Freire","BAL","1B","103.0","8588"
"2005","Jonny Gomes","TBD","RF","291.0","1845"
"2014","Jedd Gyorko","SDP","2B","951.1","10816"
"2002","Jeff Conine","BAL","LF","48.0","131"
"2012","Luke Hughes","- - -","3B","35.1","4898"
"2014","Don Kelly","DET","RF","73.1","2216"
"2004","Howie Clark","TOR","RF","66.2","1533"
"2015","Matt Adams","STL","1B","352.0","9393"
"2009","Chris Davis","TEX","3B","85.0","9272"
"2018","Tommy La Stella","CHC","3B","128.1","12371"
"2012","Ryan Raburn","DET","2B","226.0","2218"
"2009","Josh Thole","NYM","C","127.1","9689"
"2010","Eduardo Nunez","NYY","3B","83.0","6848"
"2011","Hanley Ramirez","FLA","SS","754.2","8001"
"2008","Ronny Cedeno","CHC","SS","182.2","2179"
"2011","Drew Sutton","BOS","2B","18.0","7430"
"2022","Ernie Clement","- - -","LF","78.0","20352"
"2003","Karim Garcia","- - -","CF","70.0","1537"
"2011","Mike Aviles","- - -","2B","191.2","5986"
"2005","Norihiro Nakamura","LAD","1B","15.0","8786"
"2011","Rick Ankiel","WSN","RF","59.2","1142"
"2020","David Dahl","COL","LF","30.0","13744"
"2019","Jesse Winker","CIN","CF","132.0","13590"
"2014","Billy Butler","KCR","1B","310.0","7399"
"2021","Brendan Rodgers","COL","2B","660.2","17907"
"2019","Bryce Harper","PHI","RF","1318.0","11579"
"2016","Jeff Francoeur","- - -","LF","436.1","4792"
"2021","Jace Peterson","MIL","2B","254.1","12325"
"2003","Chris Woodward","TOR","SS","871.0","1329"
"2014","Alfonso Soriano","NYY","LF","74.0","847"
"2020","Mitch Moreland","- - -","1B","296.1","3086"
"2021","Jose Devers","MIA","SS","29.0","20540"
"2013","Skip Schumaker","LAD","LF","157.1","3704"
"2011","Jose Lopez","- - -","3B","288.1","3114"
"2005","Jose Macias","CHC","2B","112.1","476"
"2016","Brandon Drury","ARI","3B","224.1","11615"
"2008","Miguel Cairo","SEA","1B","394.0","1412"
"2020","Anthony Alford","- - -","LF","33.0","14329"
"2011","Matt Downs","HOU","2B","162.0","957"
"2022","David Bote","CHC","2B","119.1","14593"
"2021","Robel Garcia","HOU","3B","102.0","13167"
"2018","Pat Valaika","COL","1B","91.0","14885"
"2009","Garrett Jones","PIT","RF","343.1","2714"
"2002","Geoff Blum","HOU","3B","824.0","550"
"2009","Matt Tolbert","MIN","2B","285.0","7365"
"2017","Raimel Tapia","COL","LF","133.1","14350"
"2011","Alfonso Soriano","CHC","LF","1007.0","847"
"2017","Aaron Altherr","PHI","LF","387.1","11270"
"2016","Stephen Drew","WSN","2B","144.1","4251"
"2017","Andrew McCutchen","PIT","CF","1188.1","9847"
"2013","Jose Tabata","PIT","LF","274.2","2411"
"2022","Ketel Marte","ARI","2B","806.1","13613"
"2019","Tim Beckham","SEA","LF","91.0","7949"
"2016","Andrew Benintendi","BOS","LF","231.2","17901"
"2016","Junior Lake","TOR","RF","93.0","4672"
"2006","Ty Wigginton","TBD","LF","39.0","1491"
"2003","Jeffrey Hammonds","SFG","CF","103.2","687"
