Season,Team,Team_GP,Team_WL
2016,DET,161,0.534
2009,DET,163,0.528
1993,DET,162,0.525
1991,DET,162,0.519
1985,DET,161,0.522
1980,DET,163,0.519
1982,DET,162,0.512
2010,DET,162,0.5
2000,DET,162,0.488
1997,DET,162,0.488
1990,DET,162,0.488
2021,DET,162,0.475
1992,DET,162,0.463
2015,DET,161,0.46
2008,DET,162,0.457
2004,DET,162,0.444
2005,DET,162,0.438
1999,DET,161,0.429
2022,DET,162,0.407
2001,DET,162,0.407
1998,DET,162,0.401
2018,DET,162,0.395
2017,DET,162,0.395
1995,DET,144,0.417
1981,DET,109,0.55
1989,DET,162,0.364
2002,DET,161,0.342
1996,DET,162,0.327
1994,DET,115,0.461
2019,DET,161,0.292
2003,DET,162,0.265
2020,DET,58,0.397
1997,MIA,162,0.568
2003,MIA,162,0.562
2009,MIA,162,0.537
2008,MIA,161,0.522
2005,MIA,162,0.512
2004,MIA,162,0.512
2010,MIA,162,0.494
1996,MIA,162,0.494
2002,MIA,162,0.488
2000,MIA,161,0.491
2006,MIA,162,0.481
2001,MIA,162,0.469
2011,MIA,162,0.444
2007,MIA,162,0.438
1995,MIA,143,0.469
1999,MIA,162,0.395
1993,MIA,162,0.395
1998,MIA,162,0.333
1994,MIA,115,0.443
2019,HOU,162,0.66
2022,HOU,162,0.654
2018,HOU,162,0.636
1998,HOU,162,0.63
2017,HOU,162,0.623
1999,HOU,162,0.599
1986,HOU,162,0.593
2021,HOU,162,0.586
2001,HOU,162,0.574
1980,HOU,163,0.571
2004,HOU,162,0.568
2005,HOU,163,0.549
2003,HOU,162,0.537
2015,HOU,162,0.531
2008,HOU,161,0.534
1989,HOU,162,0.531
1993,HOU,162,0.525
1983,HOU,162,0.525
2016,HOU,162,0.519
2002,HOU,162,0.519
1997,HOU,162,0.519
1985,HOU,162,0.512
2006,HOU,162,0.506
1996,HOU,162,0.506
1988,HOU,162,0.506
1992,HOU,162,0.5
1984,HOU,162,0.494
1982,HOU,162,0.475
2010,HOU,162,0.469
1995,HOU,144,0.528
1987,HOU,162,0.469
1990,HOU,162,0.463
2009,HOU,162,0.457
2007,HOU,162,0.451
2000,HOU,162,0.444
2014,HOU,162,0.432
1994,HOU,115,0.574
1991,HOU,162,0.401
1981,HOU,110,0.555
2011,HOU,162,0.346
2012,HOU,162,0.34
2013,HOU,162,0.315
2020,HOU,60,0.483
1980,KCR,162,0.599
2015,KCR,162,0.586
1989,KCR,162,0.568
1985,KCR,162,0.562
1982,KCR,162,0.556
2014,KCR,162,0.549
2013,KCR,162,0.531
1993,KCR,162,0.519
1988,KCR,161,0.522
1984,KCR,162,0.519
2003,KCR,162,0.512
1987,KCR,162,0.512
1991,KCR,162,0.506
2016,KCR,162,0.5
2017,KCR,162,0.494
1983,KCR,163,0.488
2000,KCR,162,0.475
1986,KCR,162,0.469
2008,KCR,162,0.463
1996,KCR,161,0.466
1990,KCR,161,0.466
2021,KCR,162,0.457
2012,KCR,162,0.444
1998,KCR,161,0.447
1992,KCR,162,0.444
2011,KCR,162,0.438
1995,KCR,144,0.486
2007,KCR,162,0.426
2010,KCR,162,0.414
1997,KCR,161,0.416
2022,KCR,162,0.401
2009,KCR,162,0.401
2001,KCR,162,0.401
1999,KCR,161,0.398
1994,KCR,115,0.557
2006,KCR,162,0.383
2002,KCR,162,0.383
2019,KCR,162,0.364
2018,KCR,162,0.358
2004,KCR,162,0.358
2005,KCR,162,0.346
1981,KCR,103,0.485
2020,KCR,60,0.433
2008,LAA,162,0.617
2014,LAA,162,0.605
2009,LAA,162,0.599
2005,LAA,162,0.586
2007,LAA,162,0.58
2012,LAA,162,0.549
2006,LAA,162,0.549
2011,LAA,162,0.531
2015,LAA,162,0.525
2018,LAA,162,0.494
2017,LAA,162,0.494
2010,LAA,162,0.494
2013,LAA,162,0.481
2021,LAA,162,0.475
2016,LAA,162,0.457
2022,LAA,162,0.451
2019,LAA,162,0.444
2020,LAA,60,0.433
2022,LAD,162,0.685
2021,LAD,162,0.654
2019,LAD,162,0.654
2017,LAD,162,0.642
2009,LAD,162,0.586
1985,LAD,162,0.586
2014,LAD,162,0.58
1988,LAD,162,0.584
2004,LAD,162,0.574
1991,LAD,162,0.574
2018,LAD,163,0.564
2015,LAD,162,0.568
2013,LAD,162,0.568
2002,LAD,162,0.568
1980,LAD,163,0.564
2016,LAD,162,0.562
1983,LAD,163,0.562
1996,LAD,162,0.556
2006,LAD,162,0.543
1997,LAD,162,0.543
1982,LAD,162,0.543
2012,LAD,162,0.531
2001,LAD,162,0.531
2000,LAD,162,0.531
1990,LAD,162,0.531
2003,LAD,162,0.525
2008,LAD,162,0.519
1998,LAD,162,0.512
2011,LAD,161,0.509
2007,LAD,162,0.506
1993,LAD,162,0.5
2010,LAD,162,0.494
1984,LAD,162,0.488
1995,LAD,144,0.542
1999,LAD,162,0.475
1989,LAD,160,0.481
1987,LAD,162,0.451
1986,LAD,162,0.451
2005,LAD,162,0.438
1992,LAD,162,0.389
1981,LAD,110,0.573
1994,LAD,114,0.509
2020,LAD,60,0.717
2016,MIA,161,0.491
2017,MIA,162,0.475
2014,MIA,162,0.475
2015,MIA,162,0.438
2022,MIA,162,0.426
2012,MIA,162,0.426
2021,MIA,162,0.414
2018,MIA,161,0.391
2013,MIA,162,0.383
2019,MIA,162,0.352
2020,MIA,60,0.517
2018,MIL,163,0.589
2011,MIL,162,0.593
2021,MIL,162,0.586
1982,MIL,163,0.586
1992,MIL,162,0.568
1987,MIL,162,0.562
2008,MIL,162,0.556
2019,MIL,162,0.549
1988,MIL,162,0.537
1983,MIL,162,0.537
2022,MIL,162,0.531
2017,MIL,162,0.531
1980,MIL,162,0.531
2012,MIL,162,0.512
2007,MIL,162,0.512
1991,MIL,162,0.512
2014,MIL,162,0.506
2005,MIL,162,0.5
1989,MIL,162,0.5
2009,MIL,162,0.494
1996,MIL,162,0.494
1997,MIL,161,0.484
2010,MIL,162,0.475
1986,MIL,161,0.478
2006,MIL,162,0.463
2013,MIL,162,0.457
1999,MIL,161,0.46
1998,MIL,162,0.457
1990,MIL,162,0.457
2016,MIL,162,0.451
2000,MIL,163,0.451
1985,MIL,161,0.441
1993,MIL,162,0.426
2015,MIL,162,0.42
2003,MIL,162,0.42
2001,MIL,162,0.42
2004,MIL,161,0.416
1984,MIL,161,0.416
1995,MIL,144,0.451
1981,MIL,109,0.569
2002,MIL,162,0.346
1994,MIL,115,0.461
2020,MIL,60,0.483
2019,MIN,162,0.623
2006,MIN,162,0.593
1991,MIN,162,0.586
2010,MIN,162,0.58
2002,MIN,161,0.584
2004,MIN,162,0.568
1988,MIN,162,0.562
2003,MIN,162,0.556
1992,MIN,162,0.556
2008,MIN,163,0.54
2009,MIN,163,0.534
2017,MIN,162,0.525
2001,MIN,162,0.525
1987,MIN,162,0.525
2015,MIN,162,0.512
2005,MIN,162,0.512
1984,MIN,162,0.5
1989,MIN,162,0.494
2007,MIN,162,0.488
2022,MIN,162,0.481
2018,MIN,162,0.481
1996,MIN,162,0.481
1985,MIN,162,0.475
1980,MIN,161,0.478
1990,MIN,162,0.457
2021,MIN,162,0.451
1993,MIN,162,0.438
1986,MIN,162,0.438
2014,MIN,162,0.432
1998,MIN,162,0.432
1983,MIN,162,0.432
2000,MIN,162,0.426
1997,MIN,162,0.42
2013,MIN,162,0.407
2012,MIN,162,0.407
2011,MIN,162,0.389
1999,MIN,161,0.394
1982,MIN,162,0.37
2016,MIN,162,0.364
1995,MIN,144,0.389
1994,MIN,113,0.469
1981,MIN,110,0.376
2020,MIN,60,0.6
1993,MON,163,0.58
1987,MON,162,0.562
1980,MON,162,0.556
1996,MON,162,0.543
1992,MON,162,0.537
1982,MON,162,0.531
1990,MON,162,0.525
1985,MON,161,0.522
2003,MON,162,0.512
2002,MON,162,0.512
1983,MON,163,0.506
1989,MON,162,0.5
1988,MON,163,0.5
1997,MON,162,0.481
1986,MON,161,0.484
1984,MON,161,0.484
1994,MON,114,0.649
1991,MON,161,0.441
2001,MON,162,0.42
1999,MON,162,0.42
2004,MON,162,0.414
2000,MON,162,0.414
1995,MON,144,0.458
1998,MON,162,0.401
1981,MON,108,0.556
1986,NYM,162,0.667
2022,NYM,162,0.623
1988,NYM,160,0.625
1985,NYM,162,0.605
2006,NYM,162,0.599
1999,NYM,163,0.595
2000,NYM,162,0.58
1987,NYM,162,0.568
1990,NYM,162,0.562
2015,NYM,162,0.556
1984,NYM,162,0.556
2008,NYM,162,0.549
2007,NYM,162,0.543
1998,NYM,162,0.543
1997,NYM,162,0.543
2016,NYM,162,0.537
1989,NYM,162,0.537
2019,NYM,162,0.531
2005,NYM,162,0.512
2001,NYM,162,0.506
2014,NYM,162,0.488
2010,NYM,162,0.488
2021,NYM,162,0.475
2018,NYM,162,0.475
2011,NYM,162,0.475
1991,NYM,161,0.478
2002,NYM,161,0.466
2013,NYM,162,0.457
2012,NYM,162,0.457
1992,NYM,162,0.444
2004,NYM,162,0.438
1996,NYM,162,0.438
2017,NYM,162,0.432
2009,NYM,162,0.432
1995,NYM,144,0.479
1983,NYM,162,0.42
1980,NYM,162,0.414
