Season,Name,Team,Age,playerid,Pos_Cat
1994,Jim Leyritz,NYY,30,1007590,DH
2003,Juan Gonzalez,TEX,33,1251,DH
1998,Matt Stairs,OAK,30,1384,DH
1996,Chili Davis,CAL,36,1003041,DH
2003,Brad Fullmer,ANA,28,13,DH
1997,Eric Davis,BAL,35,1003048,DH
2019,Austin Meadows,TBR,24,15672,DH
2009,Hideki Matsui,NYY,35,1659,DH
2000,Mike Kinkade,- - -,27,660,DH
2019,Giancarlo Stanton,NYY,29,4949,DH
2020,Giancarlo Stanton,NYY,30,4949,DH
2005,David Dellucci,TEX,31,1402,DH
1985,Mark Funderburk,MIN,28,1004405,DH
2015,David Ortiz,BOS,39,745,DH
1994,Edgar Martinez,SEA,31,1086,DH
1999,Luis Polonia,DET,35,1010427,DH
1980,Steve Kemp,DET,25,1006827,DH
2012,Evan Longoria,TBR,26,9368,DH
1993,Chip Hale,MIN,28,1005220,DH
2019,Jorge Soler,KCR,27,14221,DH
1983,Cliff Johnson,TOR,35,1006437,DH
1998,Midre Cummings,BOS,26,1927,DH
1986,Tom Dodd,BAL,27,1003350,DH
1987,Darrell Evans,DET,40,1003864,DH
1992,Paul Molitor,MIL,35,1009040,DH
2003,Jack Cust,BAL,24,1564,DH
2002,Aubrey Huff,TBD,25,1213,DH
2019,Hunter Pence,TEX,36,8252,DH
1995,Jeff Grotewold,KCR,29,1005093,DH
2018,Tyler White,HOU,27,15564,DH
2012,Billy Butler,KCR,26,7399,DH
2002,Brad Fullmer,ANA,27,13,DH
1980,Joe Charboneau,CLE,25,1002156,DH
2020,Robinson Cano,NYM,37,3269,DH
1991,Jack Clark,BOS,35,1002288,DH
2012,Jonny Gomes,OAK,31,1845,DH
1991,Albert Belle,CLE,24,1000802,DH
2014,Adam Lind,TOR,30,8027,DH
2000,Brad Fullmer,TOR,25,13,DH
1994,Geronimo Berroa,OAK,29,1000900,DH
1990,Brian Downing,CAL,39,1003451,DH
1984,Dan Meyer,OAK,31,1008824,DH
1993,Danny Tartabull,NYY,30,1012829,DH
1998,Frank Thomas,CHW,30,255,DH
1985,Mike Young,BAL,25,1014386,DH
2007,Shelley Duncan,NYY,27,3620,DH
2012,Joe Mauer,MIN,29,1857,DH
1995,George Williams,OAK,26,1013999,DH
1997,Dan Rohrmeier,SEA,31,1011149,DH
1991,Cecil Fielder,DET,27,1004026,DH
1992,Mickey Tettleton,DET,31,1012939,DH
1999,Wil Cordero,CLE,27,770,DH
2019,Nick Solak,TEX,24,19294,DH
2000,Billy McMillon,DET,28,834,DH
1995,Juan Samuel,- - -,34,1011400,DH
1988,Ron Kittle,CLE,30,1006982,DH
2008,Vladimir Guerrero,LAA,33,778,DH
1998,Jim Leyritz,- - -,34,1007590,DH
1996,Geronimo Berroa,OAK,31,1000900,DH
1983,Greg Luzinski,CHW,32,1007855,DH
2002,Raul Ibanez,KCR,30,607,DH
1980,Terry Crowley,BAL,33,1002829,DH
2010,Jack Cust,OAK,31,1564,DH
1980,Otto Velez,TOR,29,1013399,DH
1987,Jim Dwyer,BAL,37,1003608,DH
2005,Frank Thomas,CHW,37,255,DH
1992,Troy Neel,OAK,26,1009480,DH
1992,Reggie Jefferson,CLE,23,1006381,DH
1984,Andre Thornton,CLE,34,1013037,DH
1980,Jose Morales,MIN,35,1009139,DH
2007,Frank Thomas,TOR,39,255,DH
2016,Edwin Encarnacion,TOR,33,2151,DH
2017,Edwin Encarnacion,CLE,34,2151,DH
2019,Mike Ford,NYY,26,15585,DH
2008,Jack Cust,OAK,29,1564,DH
1996,Paul Molitor,MIN,39,1009040,DH
2008,David Ortiz,BOS,32,745,DH
2003,Mike Sweeney,KCR,29,634,DH
1983,Don Baylor,NYY,34,1000700,DH
1988,Paul Molitor,MIL,31,1009040,DH
2000,Greg Vaughn,TBD,34,1233,DH
2012,John Jaso,SEA,28,5887,DH
2006,Marcus Thames,DET,29,1523,DH
1999,Paul Konerko,CHW,23,242,DH
1991,Harold Baines,OAK,32,1000434,DH
1982,Greg Luzinski,CHW,31,1007855,DH
1997,Bob Hamelin,DET,29,1005269,DH
2006,Jeremy Brown,OAK,26,4512,DH
1981,Ken Singleton,BAL,34,1012011,DH
1991,Brian Downing,TEX,40,1003451,DH
2012,Paul Konerko,CHW,36,242,DH
2008,Jim Thome,CHW,37,409,DH
1984,Johnny Grubb,DET,35,1005103,DH
1999,Mo Vaughn,ANA,31,899,DH
2022,William Contreras,ATL,24,20503,DH
1988,Eddie Murray,BAL,32,1009386,DH
2022,Eloy Jimenez,CHW,25,17484,DH
2000,Rob Ryan,ARI,27,1011350,DH
1993,Troy Neel,OAK,27,1009480,DH
2016,Carlos Santana,CLE,30,2396,DH
2014,Nelson Cruz,BAL,33,2434,DH
2022,Kris Bryant,COL,30,15429,DH
1986,Larry Parrish,TEX,32,1010020,DH
1993,Greg Vaughn,MIL,27,1233,DH
2022,Shohei Ohtani,LAA,27,19755,DH
2021,Giancarlo Stanton,NYY,31,4949,DH
2021,Yordan Alvarez,HOU,24,19556,DH
1990,Rance Mulliniks,TOR,34,1009309,DH
2011,Michael Young,TEX,34,1286,DH
2022,Bryce Harper,PHI,29,11579,DH
2001,Jeremy Giambi,OAK,26,913,DH
2020,Rowdy Tellez,TOR,25,15679,DH
2014,David Ortiz,BOS,38,745,DH
2011,Victor Martinez,DET,32,393,DH
2000,Bubba Carpenter,COL,31,1001977,DH
2003,Rafael Palmeiro,TEX,38,1266,DH
1998,Calvin Pickering,BAL,21,208,DH
2017,Nicky Delmonico,CHW,24,13157,DH
2007,Gary Sheffield,DET,38,114,DH
1983,Hal McRae,KCR,37,1008687,DH
2013,Adam Lind,TOR,29,8027,DH
1988,Jack Clark,NYY,32,1002288,DH
1985,Reggie Jackson,CAL,39,1006308,DH
2009,Jim Thome,- - -,38,409,DH
2001,Ruben Sierra,TEX,35,1099,DH
1980,Rusty Staub,TEX,36,1012440,DH
2004,David Segui,BAL,37,169,DH
1982,Richie Zisk,SEA,33,1014455,DH
1997,John Jaha,MIL,31,1006336,DH
1996,Bob Hamelin,KCR,28,1005269,DH
1990,Juan Gonzalez,TEX,20,1251,DH
1992,Chili Davis,MIN,32,1003041,DH
2018,Ji-Man Choi,- - -,27,5452,DH
1989,Danny Tartabull,KCR,26,1012829,DH
1984,Don Baylor,NYY,35,1000700,DH
2010,Marcus Thames,NYY,33,1523,DH
1981,Roy Smalley,MIN,28,1012078,DH
1998,Mike Stanley,- - -,35,1012416,DH
1983,Ken Singleton,BAL,36,1012011,DH
1997,Geronimo Berroa,- - -,32,1000900,DH
2000,Russell Branyan,CLE,24,370,DH
1990,Dan Pasqua,CHW,28,1010044,DH
2018,Khris Davis,OAK,30,9112,DH
2020,Garrett Cooper,MIA,29,15279,DH
1983,Oscar Gamble,NYY,33,1004473,DH
2009,Joe Dillon,TBR,33,2384,DH
2022,Vinnie Pasquantino,KCR,24,27676,DH
2005,Mike Sweeney,KCR,31,634,DH
1990,Alvin Davis,SEA,29,1003033,DH
1997,Lee Stevens,TEX,29,796,DH
2003,Tim Salmon,ANA,34,32,DH
1996,Bobby Bonilla,BAL,33,1001168,DH
2020,Luis Gonzalez,CHW,24,20332,DH
2013,Carlos Santana,CLE,27,2396,DH
1980,Eric Soderholm,NYY,31,1012260,DH
2021,J.D. Martinez,BOS,33,6184,DH
2015,John Jaso,TBR,31,5887,DH
1991,Monty Fariss,TEX,23,1003930,DH
2015,Kendrys Morales,KCR,32,8610,DH
1980,Benny Ayala,BAL,29,1000383,DH
2011,Jim Thome,- - -,40,409,DH
1983,Johnny Grubb,DET,34,1005103,DH
2010,Vladimir Guerrero,TEX,35,778,DH
1996,Carlos Delgado,TOR,24,1297,DH
1991,Sam Horn,BAL,27,1006029,DH
1983,Andre Thornton,CLE,33,1013037,DH
1980,Hal McRae,KCR,34,1008687,DH
1981,Oscar Gamble,NYY,31,1004473,DH
